filename,new_alt,image_url
DSC05470-,"Cap construction of medical wig CICI, featuring lace top, elastic net and anti-slip PU, model CICI",https://www.bonohair.com/wp-content/uploads/2021/04/DSC05470--600x600.jpg
gigi,"Cap construction of medical human hair wig with lace top, model GIGI",https://www.bonohair.com/wp-content/uploads/2021/11/gigi-600x600.jpg
MARY-O-613-Bob-Wig-Is-Blonde-Bob-Wig-With-Bangs-From-Bono-Hair-1,"Base design of Bob wig featuring hand-tied O-shape lace crown, model MARY-O",https://www.bonohair.com/wp-content/uploads/2023/09/MARY-O-613-Bob-Wig-Is-Blonde-Bob-Wig-With-Bangs-From-Bono-Hair-1-600x600.jpg
1ANDREA-Ladies-Human-Hair-Wigs-Is-Silk-Top-Lace-Wigs-From-Bono-Hair,"Cap construction of human hair wig featuring 4""x4"" silk top and adjustable elastic bands, model ANDREA",https://www.bonohair.com/wp-content/uploads/2024/10/1ANDREA-Ladies-Human-Hair-Wigs-Is-Silk-Top-Lace-Wigs-From-Bono-Hair-600x600.jpg
1-Bernice-French-Lace-Top-Wig-Is-Womens-Wig-With-Virgin-Hair-From-Bono-Hair,"Cap construction of model Bernice, featuring a breathable 5""x5"" French lace top and a secure fit system with adjustment bands and pressure-sensitive clips",https://www.bonohair.com/wp-content/uploads/2025/03/1-Bernice-French-Lace-Top-Wig-Is-Womens-Wig-With-Virgin-Hair-From-Bono-Hair-600x600.jpg
1-BWN01JW-Jewish-Female-Wigs-Supplies-100-Virgin-Human-Hair-From-Bono-Hair,"Cap construction of model BWN01JW, featuring a multidirectional silk top for a realistic scalp look and adjustable straps for a custom fit",https://www.bonohair.com/wp-content/uploads/2025/06/1-BWN01JW-Jewish-Female-Wigs-Supplies-100-Virgin-Human-Hair-From-Bono-Hair-600x600.jpg
1-BWN04JW-Sheitel-Jewish-Wigs-From-Wholesale-Wig-Manufacturers,"Cap construction of model BWN04JW, featuring a large 5""x5"" silk top, stretchable net for comfort, and a secure fit system with adjustment elastic bands and clips",https://www.bonohair.com/wp-content/uploads/2025/06/1-BWN04JW-Sheitel-Jewish-Wigs-From-Wholesale-Wig-Manufacturers-600x600.jpg
1BWN02JW-Jewish-Womens-Wig-Wholesale-Lace-Front-Full-Cap-Wig,"Cap construction of model BWN02JW, featuring a 5""x5"" lace front with 2"" extended lace, stretchable net for comfort, and secure ear tabs with adjustment bands",https://www.bonohair.com/wp-content/uploads/2025/06/1BWN02JW-Jewish-Womens-Wig-Wholesale-Lace-Front-Full-Cap-Wig-600x600.jpg
1BWN03JW-Jewish-Wigs-For-Women-Is-Hand-Tied-Jewish-Wig-From-Bono-Hair,"Cap construction of model BWN03JW, featuring a realistic 4""x4"" silk top, breathable stretchable net, and secure ear tabs with adjustment elastic bands",https://www.bonohair.com/wp-content/uploads/2025/06/1BWN03JW-Jewish-Wigs-For-Women-Is-Hand-Tied-Jewish-Wig-From-Bono-Hair-600x600.jpg
1Medluxe-4-Medical-Grade-Wig-Cap-Silk-Top-Lace-Front-Wig-For-Medical-Hair-Loss,"Cap construction of model Medluxe-4, featuring a 4.5""x5.5"" silk top with anti-slip silicone strips and secure adjustment bands for medical comfort",https://www.bonohair.com/wp-content/uploads/2025/10/1Medluxe-4-Medical-Grade-Wig-Cap-Silk-Top-Lace-Front-Wig-For-Medical-Hair-Loss-600x600.jpg
URI-WIGS-2,"14"" straight virgin hair wig with natural bleached knots hairline and versatile free-style parting from Bono Hair",https://www.bonohair.com/wp-content/uploads/2021/04/URI-WIGS-2-600x600.jpg
URI-WIGS-4,"Cap construction featuring a breathable lace top with an elastic net and a secure fit system with side clips and adjustment bands",https://www.bonohair.com/wp-content/uploads/2021/04/URI-WIGS-4-600x600.jpg
DSC05451-,"14"" straight virgin hair medical wig with a natural bleached knots hairline and a secure, comfortable cap design, model CICI",https://www.bonohair.com/wp-content/uploads/2021/04/DSC05451--600x600.jpg
1BLN92800202-Wigs-For-Kids-Childrens-Human-Hair-Medical-Wigs,"Cap construction of model BLN92800202, featuring a soft silk top with anti-slip silicone patches and a stretchable net for children's sensitive scalps",https://www.bonohair.com/wp-content/uploads/2025/11/1BLN92800202-Wigs-For-Kids-Childrens-Human-Hair-Medical-Wigs-600x600.jpg
contrast-hollow,"",https://www.bonohair.com/wp-content/uploads/2023/06/contrast-hollow.svg
contrast-solid,"",https://www.bonohair.com/wp-content/uploads/2023/06/contrast-solid.svg
